country_code,year,tot_views,richness,exp_shannon,inv_simpson,lex_div_q_0,lex_div_q_1,lex_div_q_2
AD,2015,3716000,40,4.7823641873402964,3.0469783433857365,2.4834744036924072,2.248810286694026,2.0883185821357713
AD,2016,6001000,39,4.739748207293125,3.058892946139719,2.467209752193834,2.241786594395875,2.0849536103228
AD,2017,6310000,38,5.018728216637134,3.268418793919062,2.531321687869429,2.3113269451201224,2.158300278067938
AD,2018,6565000,32,4.847561488894889,3.1120418762729543,2.516807057597222,2.2775058344766017,2.1104774661027634
AD,2019,6750000,38,5.282497052470515,3.372524317334461,2.534581926057595,2.321643798390335,2.17489990505567
AD,2020,7245000,34,4.729139252994255,3.142911827084726,2.442251677193321,2.244362190508101,2.1049123854368306
AD,2021,6611000,34,4.907042475835256,3.375420630854956,2.517209244174162,2.3289164019678164,2.2019822178367208
AD,2022,6590000,37,5.332809651951188,3.5408182150984224,2.6440224712983125,2.4431151048590976,2.3125503797701414
AD,2023,6650000,138,6.138902471074731,3.610009430228711,2.804076575126428,2.533253997848639,2.374376496840226
AD,2024,7131000,42,5.529155344459924,3.6151557947278232,2.7092349652440335,2.5032714786866324,2.3785210035558824
AE,2015,283364000,266,2.2437993271498855,1.4482601512046969,2.012514740560908,1.5540150364227785,1.3706959742799476
AE,2016,439814000,248,2.2614274849715574,1.4753735021798025,2.0273623389032864,1.5783173094811156,1.3922326524319741
AE,2017,441816000,230,2.581784977335109,1.6142741869374282,2.2323029739762097,1.7270660407500174,1.498351191352664
AE,2018,468430000,282,3.1022061420562568,1.8897762823114759,2.4903056877813547,1.975060466643548,1.6980566494235536
AE,2019,427042000,280,2.6788512973737464,1.6587015812062706,2.2687290031812712,1.7656399230851647,1.5326589208731765
AE,2020,452482000,272,2.4117729589071093,1.6028739840990198,2.1136216649270385,1.6900305085885325,1.495853573315061
AE,2021,409907000,250,2.4982957813494377,1.6401659865915887,2.1759193529619054,1.728822512339894,1.5246280775159216
AE,2022,406610000,298,2.6064060628697137,1.6389956627073352,2.2303895918458614,1.7412431382529936,1.5213191461745665
AE,2023,181559000,248,2.805051528032654,1.6969379981024277,2.3229129036470457,1.8033008882435533,1.5626619062722038
AF,2015,47805000,73,1.7158304325214853,1.3065580457542885,1.6632415347245626,1.3730922640804142,1.2560336423779197
AF,2016,241501000,73,1.2434794700886458,1.0876252212714974,1.2766696736464862,1.1211309905959492,1.0753367560136122
