lang_id,ISO6393,words,completeness,language,macroarea,family,ONE,TWO,PERSON,FISH,DOG,LOUSE,TREE,LEAF,SKIN,BLOOD,BONE,HORN (ANATOMY),EAR,EYE,NOSE,TOOTH,TONGUE,KNEE,BREAST,LIVER,DRINK,SEE,HEAR,DIE,COME,STAR,WATER,STONE,FIRE,PATH,MOUNTAIN,NIGHT,FULL,NEW,NAME,SUN,HAND,I,THOU,WE
AFAR_3,aar,40,100,Afar,Africa,Afro-Asiatic,inkittu,namay,sehada,kulum,kuta,inkaX,Xada,ayufta,arab,Xabal,lafa,gaysa,ayti,inti,san,kalassino,af,gulub,aNu,kalba,oXobe,uble,obe,rabe,dikkaedXe,Xutuka,le,da,gira,gaXeyna,Xale,bar,kibime,Xusba,migaX,ayro,gaba,anu,ko,nanu
ABKHAZ_2,abk,40,100,Abkhaz,Eurasia,Abkhaz-Adyge,ok3,ybo,ouoy3,ops3c,olo,oco,oclo,obXi,oc3o,oSo,boy,ot33yo,ol3mXo,olo,op3nco,oXop3c,obz,oSomX3,og33pX33,og3oc3o,oZ3ro,oboro,oXoro,opsro,oro,oEc3o,oc3,oXoX3,omco,omX3osto,oSXo,ocX,ozno,ott3c,oXc,omro,onop3,so,boro,Xoro
ACEH,ace,37,92.5,Acehnese,Papunesia,Austronesian,so,duwo,ureureN,euN7ot,osEe,gutEe,bo7,on,ulet,doroh,tuleuN,NA,geuli5euN,moto,idoN,gigoe,diloh,teuot,obin,ote,Tep,olon,deuNo,mote,NA,bintoN,NA,botEe,opui,TuroN,gunoN,molom,peunoh,boro,non,moto uroe,Toroe,lon,goto,geuto5oe
ADYGHE_2,ady,40,100,West Circassian,Eurasia,Abkhaz-Adyge,z3,t,c3f3,pcaZ3y,ba,ca,C3x3,tXap,C3S3,L3,q3pSXa,bZa,tXakm,na,pa,ca,bzag3,Laganj,bXa,S,yaSan,laXn,zaxax3n,Lan,qakwan,ZaXa,ps3,m3Za,maSwa,LaX3,q3SXa,CaS3,y3z,ka,ca,t3Xa,atXac3,sa,wa,ta
AFRIKAANS,afr,40,100,Afrikaans,Africa,Indo-European,en,te,mEs,fis,hont,lEis,bom,blor,fEl,blut,ben,horiN,or,ox,nes,tant,toN,kni,bors,lev3r,driNk,sin,hor,stErf,kom,stEr,vat3r,klip,fur,pat,bErk,nax,fol,nut,nam,son,hant,Ek,y3i,os
TWI_ASANTE,aka,35,87.5,Akan,Africa,Atlantic-Congo,bako,mmienu,onipa,nsuomnam,okraman,noroso,dua,ahahan,NA,moja,nnome,NA,aso,ani,ahene,ase,katrama,kotodwe,nufo,NA,nom,ha,te,wu,bra,NA,nsuo,aboe,eja,akan,bepo,anadwo,NA,foforo,edin,awia,nsa,me,wo,yan
ALBANIAN,als,40,100,Northern Tosk Albanian,Eurasia,Indo-European,Ne,di,vet3,peSk,Ten,morr,dru,Tethe,l3kur3,Tak,aSt,bri,veS,si,hund3,8Emb,Tuh3,Tu,kraharor,m3lCi,pirye,Soh,d3gyoy,vdes,viy,ill,uj3,gur,ndez,Steg,mal,nat3,e mbuSur plot me,i ri,em3r,dyell,dor3,un3,ju,ne
ALTAI,alt,27,67.5,Southern Altai,Eurasia,Turkic,NA,aki,kiZi,baluk,it,bit,tarak,Talburaq,tara,NA,sak,mis,qulaq,qaraq,tumCuq,NA,til,NA,taS,bur,NA,NA,NA,NA,NA,Tuldus,NA,taS,ot,Tol,NA,tin,NA,TaNa,NA,kin,kol,man,san,bis
AMHARIC,amh,40,100,Amharic,Africa,Afro-Asiatic,an,hul3t,s3w,asa,w3Sa,k3mal,zaf,k3t3l,koda,d3m,at3nt,k3n,joro,ayn,af3nCa,t3rs,m3las,gulb3t,tut,gub3t,t3ta,ay3,s3ma,mot3,m3ta,kok3b,w3ha,d3niya,3sat,m3n3d,t3rara,lelit,mulu,adis,s3m,s3hay,3j,3ne,an3,a5a
FARANG_AMIS,ami,35,87.5,Amis,Papunesia,Austronesian,c3cay,tusa7,NA,futiN,wacu7,kutu7,kilaN,papah,faN3s,ilaN,Xukak,NA,taNila7,mata7,NusuX,waLis,s3ma7,NA,cucu7,Xatay,minanum,maXaraw,mit3Nir,mapatay,puhay,fuXes,nanum,fakluh,namal,lalan,NA,lavi7i7,NA,fa7roh,naNan,ta7NaL,ulima7,kaku,kisu,kita
OLD_ENGLISH,ang,40,100,Old English (ca. 450-1100),Eurasia,Indo-European,an,tegen,man,fisk,hund,lus,treow,leaf,hid,blod,ban,horn,eare,eage,nosu,to8,tuNe,kneow,breost,lifer,driNk8,sie8,hier8,stierf8,kim8,steora,wEter,stan,fir,weg,beorg,nit,ful,niowe,nama,sune,hand,ik,8u,we
OBOLO,ann,38,95,Obolo,Africa,Atlantic-Congo,ge,iba,ne,riN,bo,duk,ti,NaN,ka,je,kuk,du,toN,CiEN,NoN,jEt,lom,kat ukot,bE,NA,NoN,ko,no,ku,na,tru oyaN,muN,wu,kaN,NA,goN,ririEN,ojot,ayaya,riEN,ra,ka Ejit ubok,Emi,owu,Ezi
ANGIKA,anp,20,50,Angika,Eurasia,Indo-European,ek,dui,NA,NA,kukur,NA,gaC,NA,NA,NA,har,NA,kan,aik,nak,dat,yi,NA,NA,NA,NA,NA,NA,maru,ia,tara,pani,NA,agi,NA,NA,NA,NA,NA,NA,sury,hat,hame,toi,hamrani
STANDARD_ARABIC_2,arb,40,100,Standard Arabic,Eurasia,Afro-Asiatic,waXid,i8nayn,insan,samak,kalb,qamla,Sajara,waraqa,baSara,dam,Xodm,qarn,u8un,Xain,anf,sinn,lisan,rukba,8ady,kabid,Sariba,ra7a,samiXa,mata,ata,najm,ma7,Xajar,nar,darb,jabal,laila,mali7,jadid,ism,Sams,yad,ana,anti,naXnu
ARAGONESE,arg,40,100,Aragonese,Eurasia,Indo-European,un,dos,ombre,peS,kan,pegoLo,arbol,fueLa,piel,saNgre,geso,kerno,oreLa,geLo,nari8,dien,lueNga,CinoLo,peito,figado,beber,beyer,sentir,morir,benir,estrela,auga,pe5a,fuego,kamin,mon,nueit,pleno,nuebo,nombre,sol,man,yo,tu,nusatros
MOROCCAN_ARABIC_2,ary,40,100,Moroccan Arabic,Africa,Afro-Asiatic,waXed,ZuZ,siyed,Xut,kelb,qemla,SeZra,werqa,Zeld,demm,Xdem,qern,wden,Xeyn,nif,senn,lsan,rokba,bezzula,kebda,Sreb,Saf,smeX,mat,Za,neZma,ma,XeZra,Xafya,triq,Zbel,lila,Xamer,Zdid,smiya,SemS,idd,ana,nta,Xna
CAIRO_ARABIC,arz,40,100,Egyptian Arabic,Africa,Afro-Asiatic,waXid,itneen,Saxs,samak,kalb,7amla,Sagara,war7a,gild,damm,Xadma,7arn,widn,Xen,manaxiir,sinn,lisan,rukba,nahd,kibda,Sirib,Saf,simiX,mat,ga,nigma,mayya,Xagara,nar,tari7,gabal,lela,malyan,gidid,ism,Sams,id,ana,inta,iXna
ASSAMESE,asm,37,92.5,Assamese,Eurasia,Indo-European,ak,dui,purux,mas,kukur,okoni,gos,pat,sal,taz,har,xiN,kan,soku,nak,dat,ziba,NA,NA,zokrit,pi,dak,xun,mor,ah,tora,pani,xil,zui,bat,porbot,rati,bora,notun,nam,xurzzo,hat,moe,NA,ami
ASTURIAN,ast,39,97.5,Asturian-Leonese-Cantabrian,Eurasia,Indo-European,un,dos,persona,peSe,perru,pioyu,arbol,fueya,piel,saNgre,uesu,kuernu,oreya,ueyu,nari8es,diente,paladar,rodia,peCu,NA,beber,ver,oyer,morrer,venir,estrella,agua,piedra,fueu,kamin,monte,nueCe,Leno,nuevu,nome,sol,mano,yo,tu,nos
ATIKAMEKW,atj,37,92.5,Atikamekw,North America,Algic,nikot,nisino,NA,amek,astim,ikko,attik,pak,asaka,mikko,kan,eskan,itt,ap,kkot,apit,eran,iCCikan,CiCiss,skon,minikke,apam,itt,nipo,peisa,aCakkoss,ap,apisk,awe,iskanawe,at,tipisk,askin,oski,nikkat,kisik,CiCCan,nin,NA,NA
AVAR,ava,40,100,Avar,Eurasia,Nakh-Daghestanian,so,kigo,Ci,CuXa,hE,nac,XEt,tamaX,qal,bi,ratLa,tar,Xin,bEr,mEXEr,ca,mac,naku,kErEn,tul,hEqEzE,ixizE,aXizE,XEzE,aCinE,ca,Lin,gamaC,ca,suqmaq,mEXEr,sordo,cura,ciya,car,baq,kEr,dun,mun,niL
AWADHI,awa,37,92.5,Awadhi,Eurasia,Indo-European,ek,dui,j3ne,maCeriz,kut3wa,jua,birawar,pata,Tam,kun,har,NA,kan,aki,nekura,dat,jibh,tenuna,aTar,NA,pi,dekhu,sun,m3r,a,n3kh3t,pani,pat3r,agi,paira,NA,rati,b3ri,n3i,nau,gam,hat,m3i,tui,h3m
CENTRAL_AYMARA,ayr,40,100,Central Aymara,South America,Aymaran,maya,paya,xaqe,Calwa,anu,lapa,qoqa,laqa,xanCi lipiCi,wila,Caka,wara,xinCu,naira,nasa,laka Caka,lara,qonqori,5u5u,kiuCa,uma5a,u5Xa5a,ista5a,xiwa5a,xuta5a,warawara,uma,qala,nina,taki,kolo,aruma,poqa,maCaqa,suti taqekunana,inti,amara,naya,xuma,nanaka
AZERBAIJANI_SOUTHERN,azb,28,70,South Azerbaijani,Eurasia,Turkic,bir,NA,odom,balux,it,NA,oXoj,yaprax,dari,gon,NA,buX,giS,gez,NA,diS,dil,diz,NA,NA,iCmak,ger,NA,NA,galmak,NA,NA,doS,ot,NA,doX,NA,tox,taza,od,gin,al,man,san,biz
AZERBAIJANI,azj,40,100,North Azerbaijani,Eurasia,Turkic,bir,iki,odom,bolug,it,bit,oxoj,yorpog,dEri,gon,simik,buynuz,gulog,CEz,burun,diS,dil,diz,mEmE,goro jiyEr,iCmEk,CErmEk,duymog,ElmEk,CElmEk,ulduz,su,doS,od,juxur,dox,CEjE,dolu,yEni,od,CinES,El,mEn,sEn,biz
BASHKIR,bak,40,100,Bashkir,Eurasia,Turkic,ber,ike,keSe,baluq,et,bet,axas,yalpaq,tire,qan,heyEk,mege8,qolaq,ki8,tanau,teS,tel,tubuq,kikrEk,baur,esei,kirei,iSetei,ilei,kilei,yondo8,hu,taS,ut,yul,tau,ten,tulu,yaNu,isem,qoyaS,qul,min,hin,be8
BAMBARA_4,bam,40,100,Bambara,Africa,Mande,kElE,filo,mogonifi,jEgE,wulu,5imi,yiri,yiribulu,wolo,joli,kolo,bi5E,tulo,5E,nu,5i,nE,kimbiri,Si,bi5E,mi,ye,mE,so,no,dolo,ji,kobokuru,tosumo,siro,kulu,su,fole,kuro,jomu,tle,tEgE,ne,i,ou
BALI,ban,34,85,Balinese,Papunesia,Austronesian,sa,dadua,anak,be,CiCiN,kutu,NA,don,kulit,getih,tulaN,NA,kupiN,mata,CuNuh,gigi,layah,NA,nono,ati,Ninem,niNalin,niNeh,mati,t3ku,bintaN,yeh,batu,api,ruruN,NA,peteN,NA,mar3,adan,NA,lima,iCaN,Cai ajak mekejaN,iraga
BAVARIAN_GERMAN_2,bar,40,100,Bavarian,Eurasia,Indo-European,oas,Cvea,menS,fiS,hunt,laos,pam,platl,haot,pluat,poa,hoan,oa,aok,nosn,Cont,CuN,kxnia,prust,leva,triNxN,sexN,hEan,Sterm,kxema,StEan,vosa,Stoa,foea,vek,perk,noxt,foe,noe,num,sun,hont,i,tu,mia
TOBA_BATAK,bbc,34,85,Batak Toba,Papunesia,Austronesian,sade,dua,halak,deke,biaN,hutu,NA,buluN,hulikuliN,mudar,holiholi,NA,piNol,mata,iguN,NiNi,dila,NA,susu,ateate,minim,mamereN,mabege,mate,ro,bitaN,aek,batu,api,dalan,NA,borNin,NA,ibaru,goar,NA,taNan,ahu,hamu,hita
LEGAZPI,bcl,40,100,Coastal-Naga Bikol,Papunesia,Austronesian,saruq,duwa,tawu,siraq,qayam,kutu,kahuy,dahun,qunit,duguq,tuqlaN,suNay,taliNa,mata,duNuq,Nipun,dilaq,tuhud,susu,katuy,qinum,qiliN,daNug,gadan,qabut,bituqun,tubig,gapuq,kalayu,dalan,bulud,baNgi,panuq,baqgu,Naran,qaldaw,kamut,qaku,kamu,kita
BAJAU_WEST_COAST,bdr,28,70,West Coast Bajau,Papunesia,Austronesian,isa7,duo,jomo,diN,uwa7,NA,pon,NA,NA,la7,bokog,tanduk,NA,moto,uruN,impon,NA,NA,susu,atay,inum,Nenda7,kale,matay,NA,NA,buwe7,NA,api,lan,gunuN,soNom,NA,NA,oron,NA,taNan,aku,kau,kiti
