ID,language,macroarea,glottocode,ISO6393,Latitude,Longitude,level,category,subclassification,aes,med,medovertime,bib,classification,family
abkh1242,Abkhaz-Adyge,Eurasia,abkh1242,NA,43.692403000000006,40.8701525,family,Family,"(((ashk1247:1,bezs1238:1,tapa1256:1)abaz1241:1,(abzh1238:1,bzyb1238:1,samu1242:1)abkh1244:1)abkh1243:1,((grea1271:1)kaba1278:1,(abad1240:1,bezh1247:1,natu1243:1,shap1240:1,temi1249:1,xaku1238:1)adyg1241:1)circ1239:1,ubyk1235:1)abkh1242:1;",NA,NA,NA,NA,NA,NA
surm1244,Surmic,Africa,surm1244,NA,6.8819987708333334,34.97338345833333,family,Family,"(maja1242:1,(((mugu1242:1,yidi1251:1)kweg1241:1,((bodi1253:1,tish1239:1)meen1242:1,(murs1242:1,(chai1252:1,tirm1240:1)suri1267:1)suri1266:1)past1248:1)sout2837:1,(((bale1254:1,kaci1245:1,kich1261:1,suri1268:1,west2496:1,zilm1238:1)kaci1244:1,ngaa1241:1)baal1234:1,((didi1258:1,nari1240:1)didi1257:1,(boma1247:1,loti1239:1,olam1240:1)murl1244:1,tenn1246:1)didi1256:1)sout2838:1)sout2836:1)surm1244:1;",NA,NA,NA,NA,NA,NA
tama1329,Tamaic,Africa,tama1329,NA,14.1199,22.0722,family,Family,"((abou1238:1,nucl1447:1)mara1396:1,(miis1236:1,((eren1239:1,girg1241:1,mura1270:1,sebu1242:1,sung1270:1,wala1265:1)assa1269:1,(girg1242:1,haur1242:1,orra1238:1,tama1332:1)tama1331:1)tama1368:1)tama1330:1)tama1329:1;",NA,NA,NA,NA,NA,NA
yare1250,Yareban,Papunesia,yare1250,NA,-9.526500833333332,148.41375,family,Family,"(((auwa1241:1,buni1247:1,doma1263:1,jari1243:1,mori1270:1)anem1248:1,moik1239:1)dori1247:1,(bari1290:1,nawa1258:1,yare1248:1)yare1251:1)yare1250:1;",NA,NA,NA,NA,NA,NA
monu1249,Bogia,Papunesia,monu1249,NA,-4.313245,144.97,family,Family,"(lila1246:1,nucl1458:1)monu1249:1;",NA,NA,NA,NA,NA,NA
tebe1251,Teberan,Papunesia,tebe1251,NA,-6.7604299999999995,144.4845,family,Family,"((erav1243:1)dadi1250:1,(aure1239:1,bara1374:1,boro1278:1,keba1251:1,kewa1247:1,pupi1239:1,rooo1240:1,sesa1245:1,sili1248:1,sope1239:1,suri1271:1,tebe1252:1,wara1301:1)folo1238:1)tebe1251:1;",NA,NA,NA,NA,NA,NA
sali1297,Saliban,South America,sali1297,NA,4.8956125,-68.276825,family,Family,"((maco1239:1,piar1243:1)maco1238:1,sali1298:1)sali1297:1;",NA,NA,NA,NA,NA,NA
hibi1242,Hibito-Cholon,South America,hibi1242,NA,-7.90731,-76.83105,family,Family,"(chol1284:1,hibi1243:1)hibi1242:1;",NA,NA,NA,NA,NA,NA
kiwa1251,Kiwaian,Papunesia,kiwa1251,NA,-7.957872170863979,143.85166860272818,family,Family,"((gama1254:1,lowe1421:1,nuhi1238:1,sisi1249:1,uppe1434:1)bamu1257:1,(arig1248:1,giba1246:1,kope1239:1,uram1241:1)nort2930:1,(coas1298:1,daru1245:1,doum1239:1,east2521:1,isla1274:1,sout2950:1)sout2949:1,((giba1247:1)kere1286:1,mori1271:1)tura1266:1,wabo1241:1)kiwa1251:1;",NA,NA,NA,NA,NA,NA
paho1240,Pahoturi,Papunesia,paho1240,NA,-8.922485,142.41649999999998,family,Family,"((agob1245:1,ende1235:1,kawa1281:1)agob1244:1,(nucl1597:1,tame1238:1)idii1243:1)paho1240:1;",NA,NA,NA,NA,NA,NA
fasu1242,Fasu,Papunesia,fasu1242,faa,-6.62687,143.284,language,Spoken_L1_Language,"(kaib1243:1,namo1245:1,some1244:1)fasu1242:1;",3,1,"['Loeweke, Eunice & Jean May. 1980. General grammar of Fasu (Namo Me). In Don Hutchisson (ed.), Grammatical studies in Fasu and Mt. Koiali, 5-106. Ukarumpa: Summer Institute of Linguistics.', 'Loeweke, Eunice, Loeweke Jean May, Eunice, Jean May, Jeffrey Bailey & Cooper Samuel. 1973. Pisini me sukuru sawi popasane oyapo (Learning to read Melanesian Pidgin) [transfer primer], bound with the following: ____, ____, Akisa Ware, and Kuape Ware, Pisini me enomakasimo sawi wo popasane oyapo, [diglot phrase book, adapted from Pisini kie havio, by Gwen Gibson, Joy McCarthy and Stephen Harris]. (150). 104pp. ([EZE]).', 'Loeweke, Eunice & Jean May. 1966. Fasu grammar. Anthropological Linguistics 8(6). 17-33.', 'May, Jean & Eunice Loeweke. 1965. The phonological hierarchy in Fasu. Anthropological Linguistics 7(5-2). 89-97.', 'Loeweke, Eunice & Jean May. 1964. The phonological hierarchy in Fasu. Anthropological Linguistics 7(5). 89-97.', 'May, Jean & Eunice Loeweke. 1963. Faso Namo Mé 1 (Fasu trial primer 1). 11pp.']",True,Isolatefasu1242,NA
wash1253,Washo,NA,wash1253,was,38.8184,-119.64,language,Spoken_L1_Language,wash1253:1;,4,0,"['Jacobsen, William H., Jr. 1964. A Grammar of the Washo Language. Berkeley, CA: University of California at Berkeley dissertation. (xvii+684pp.) (dissertation, University of California, Berkeley., xvii+684pp.)', 'Kroeber, Alfred L. 1907. The Washo Language of East Central California and Nevada. University of California Publications in American Archaeology and Ethnology 4(5). 252-317. Berkeley: University of California Press. (Cover title).']",True,Isolatewash1253,NA
taua1242,Tauade,NA,taua1242,ttd,-8.3486,147.094,language,Spoken_L1_Language,taua1242:1;,1,2,"['Egidi, Vincenzo M. 1907. La tribù di Tauata. Anthropos II. 675-681, 1009-1021.']",True,Isolatetaua1242,NA
